line,loc,DTT,PH,EW
MG_100,BJ,67,241.2,NA
MG_100,HeB,64,214.25,NA
MG_100,HN,57,202.25,16.4
MG_100,JL,80,211.75,139.8
MG_100,LN,69,248.4,85
MG_1000,BJ,59,260.2,178
MG_1000,HeB,55,211,167.5
MG_1000,HN,58,205.2,187.4
MG_1000,JL,74,249,233.4
MG_1000,LN,67,223,209
MG_1001,BJ,68,219.6,76
MG_1001,HeB,63,222.8,127.4
MG_1001,HN,67,203.5,85
MG_1001,JL,85,219,159
MG_1001,LN,76,192.8,135
MG_1002,BJ,63,229.25,22
MG_1002,HeB,61,208.75,NA
MG_1002,HN,66,157.4,NA
MG_1002,JL,82,204.6,79.6
MG_1002,LN,75,212,137.5
MG_1003,BJ,68,232,95
MG_1003,HeB,60,215.4,75.3
MG_1003,HN,59,190.25,58.2
MG_1003,JL,83,234.25,84.8
MG_1003,LN,73,228,101
MG_1004,BJ,63,186.4,108
MG_1004,HeB,55,155.8,90.9
MG_1004,HN,59,159.2,84.4
MG_1004,JL,75,168.8,126.4
MG_1004,LN,68,169.3,153
MG_1005,BJ,68,192.2,56.67
MG_1005,HeB,62,163.8,60.5
MG_1005,HN,64,152.8,23.2
MG_1005,JL,81,185.8,77.6
MG_1005,LN,74,193.4,63.33
MG_1006,BJ,61,232.5,80
MG_1006,HeB,55,199.5,112.9
MG_1006,HN,58,206.2,90.4
MG_1006,JL,73,219.4,121.2
MG_1006,LN,71,222.5,140
MG_1007,BJ,62,185.6,80
MG_1007,HeB,58,154.2,73.12
MG_1007,HN,58,140.4,50.6
MG_1007,JL,75,176.2,86.4
MG_1007,LN,70,167,106
MG_1008,BJ,73,222.5,60
MG_1008,HeB,62,240.75,109.5
MG_1008,HN,64,233.6,59
MG_1008,JL,91,231,72
MG_1008,LN,80,247.7,NA
MG_1009,BJ,62,240,60
MG_1009,HeB,68,230,NA
MG_1009,HN,63,229,89.2
MG_1009,JL,84,263,153.8
MG_1009,LN,73,228.75,121.67
MG_101,BJ,68,208.2,65
MG_101,HeB,63,186.6,115.25
MG_101,HN,62,164.25,55.6
MG_101,JL,89,206.25,90.8
MG_101,LN,72,205.9,124
MG_1010,BJ,67,201.4,44
MG_1010,HeB,62,142.8,93.5
MG_1010,HN,65,153.6,60.75
MG_1010,JL,82,188.8,116
MG_1010,LN,74,186.4,139
MG_1011,BJ,62,242,57.5
MG_1011,HeB,63,221,132.33
MG_1011,HN,58,221.4,86.2
MG_1011,JL,83,265.6,178.4
MG_1011,LN,79,228.2,111.25
MG_1012,BJ,68,188,60
MG_1012,HeB,60,174,81.83
MG_1012,HN,60,189,54
MG_1012,JL,83,211.5,185
MG_1012,LN,74,208.6,140
MG_1013,BJ,65,238.5,56
MG_1013,HeB,53,234.25,77.1
MG_1013,HN,60,234.25,63.8
MG_1013,JL,80,280.5,80.6
MG_1013,LN,72,250.6,124
MG_1014,BJ,57,237.8,96.67
MG_1014,HeB,52,203.4,113.75
MG_1014,HN,56,214.75,94
MG_1014,JL,75,233.75,183.5
MG_1014,LN,68,216.94,115
MG_1015,BJ,63,231.25,74
MG_1015,HeB,61,193.75,89.7
MG_1015,HN,58,185,63.8
MG_1015,JL,80,217,112.6
MG_1015,LN,71,224,87
MG_1016,BJ,62,175,50
MG_1016,HeB,56,176,57
MG_1016,HN,64,178.88,42.8
MG_1016,JL,84,190.25,83.4
MG_1016,LN,72,178.4,104
MG_1017,BJ,68,255.25,40
MG_1017,HeB,64,245.25,79
MG_1017,HN,59,223.4,66.2
MG_1017,JL,79,278.75,91.8
MG_1017,LN,75,265.2,95
MG_1018,BJ,62,215.75,70
MG_1018,HeB,65,227.2,132
MG_1018,HN,59,195.75,65.8
MG_1018,JL,82,225.2,103.2
MG_1018,LN,73,230.8,NA
MG_1019,BJ,67,208.8,86.67
MG_1019,HeB,66,190.5,79.75
MG_1019,HN,68,206.2,62.8
MG_1019,JL,94,193,64.5
MG_1019,LN,81,189.75,NA
MG_102,BJ,66,231.4,133.33
MG_102,HeB,57,157.5,102.3
MG_102,HN,55,180.6,94
MG_102,JL,80,193.6,71.4
MG_102,LN,70,235.4,116.67
MG_1020,BJ,68,221.2,23.33
MG_1020,HeB,61,259,51.8
MG_1020,HN,66,229.7,18.4
MG_1020,JL,88,261.6,89
MG_1020,LN,77,242.75,62.5
MG_1021,BJ,64,219.6,90
MG_1021,HeB,58,214.8,113.3
MG_1021,HN,59,204.2,119.6
MG_1021,JL,83,218.5,103
MG_1021,LN,72,211.2,125
MG_1022,BJ,62,245.4,90
MG_1022,HeB,58,235.4,88.83
MG_1022,HN,62,188,44.2
MG_1022,JL,83,231,59.8
MG_1022,LN,71,256,83
MG_1023,BJ,67,228.8,46
MG_1023,HeB,58,232,59.5
MG_1023,HN,63,195.8,62.2
MG_1023,JL,84,240.4,101.4
MG_1023,LN,77,252.8,135
MG_1024,BJ,61,219.75,72
MG_1024,HeB,56,189.8,82
MG_1024,HN,58,168.8,69
MG_1024,JL,78,215.2,147.2
MG_1024,LN,71,217.8,143
MG_1025,BJ,65,234,70
MG_1025,HeB,56,206.8,68
MG_1025,HN,58,192,57.8
MG_1025,JL,84,242.6,76.8
MG_1025,LN,73,242,92.5
MG_1026,BJ,57,193.25,92.5
MG_1026,HeB,54,199,76.12
MG_1026,HN,59,168,47
MG_1026,JL,75,211.4,104.4
MG_1026,LN,69,206.6,NA
MG_1027,BJ,62,223.5,56.67
MG_1027,HeB,56,208.75,69.83
MG_1027,HN,58,179.2,52
